id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3018219,CD1,2018-05-29 00:00:00,28.2,28.6,11.9,,,
3018220,BL0,2018-05-29 00:00:00,,,,,,
3018221,GR4,2018-05-29 00:00:00,24.8,25.0,6.3,,,
3018222,MY7,2018-05-29 00:00:00,31.4,32.4,,,,
3018223,HV1,2018-05-29 00:00:00,22.6,23.4,5.3,,,
3018224,GN3,2018-05-29 00:00:00,33.0,37.9,5.2,,,
3018225,GR9,2018-05-29 00:00:00,31.2,35.3,17.5,,,
3018226,LW2,2018-05-29 00:00:00,,,,,,
3018227,GN0,2018-05-29 00:00:00,,29.2,13.1,,,
3018228,KF1,2018-05-29 00:00:00,,,,,,
3018229,CD9,2018-05-29 00:00:00,,,31.3,,,
3018230,CT3,2018-05-29 00:00:00,,31.2,11.3,,,
3018231,CT2,2018-05-29 00:00:00,,,,,,
3018232,BX9,2018-05-29 00:00:00,26.3,,,,,
3018233,BX1,2018-05-29 00:00:00,,24.9,-0.6,,,
3018234,TH4,2018-05-29 00:00:00,,44.9,22.5,,,
3018235,ST5,2018-05-29 00:00:00,,,,,,
3018236,RB7,2018-05-29 00:00:00,,38.2,5.8,,,
3018237,TD5,2018-05-29 00:00:00,30.4,,,,,
3018275,CD1,2018-05-29 01:00:00,28.1,29.7,13.2,,,
3018276,BL0,2018-05-29 01:00:00,25.6,30.2,10.7,,,
3018277,GR4,2018-05-29 01:00:00,32.3,31.7,8.8,,,
3018278,MY7,2018-05-29 01:00:00,29.9,32.9,,,,
3018279,HV1,2018-05-29 01:00:00,26.0,27.3,5.5,,,
3018280,GN3,2018-05-29 01:00:00,34.6,37.4,5.2,,,
3018281,GR9,2018-05-29 01:00:00,,,,,,
3018282,LW2,2018-05-29 01:00:00,,,,,,
3018283,GN0,2018-05-29 01:00:00,,31.2,11.0,,,
3018284,KF1,2018-05-29 01:00:00,,,,,,
3018285,CD9,2018-05-29 01:00:00,,,,,,
3018286,CT3,2018-05-29 01:00:00,,34.8,14.7,,,
3018287,CT2,2018-05-29 01:00:00,34.0,,,,,
3018288,BX9,2018-05-29 01:00:00,32.5,,,,,
3018289,BX1,2018-05-29 01:00:00,,26.7,0.4,,,
3018290,TH4,2018-05-29 01:00:00,,41.4,18.5,,,
3018291,ST5,2018-05-29 01:00:00,,,,,,
3018292,RB7,2018-05-29 01:00:00,,39.4,4.9,,,
3018293,TD5,2018-05-29 01:00:00,29.7,,,,,
3018331,CD1,2018-05-29 02:00:00,25.1,25.1,11.2,,,
3018332,BL0,2018-05-29 02:00:00,,,,,,
3018333,GR4,2018-05-29 02:00:00,32.2,33.5,7.1,,,
3018334,MY7,2018-05-29 02:00:00,25.0,27.7,,,,
3018335,HV1,2018-05-29 02:00:00,33.5,33.8,4.7,,,
3018336,GN3,2018-05-29 02:00:00,31.0,33.9,5.6,,,
3018337,GR9,2018-05-29 02:00:00,32.3,38.9,17.1,,,
3018338,LW2,2018-05-29 02:00:00,,,,,,
3018339,GN0,2018-05-29 02:00:00,,28.8,16.4,,,
3018340,KF1,2018-05-29 02:00:00,,,,,,
3018341,CD9,2018-05-29 02:00:00,,,27.6,,,
3018342,CT3,2018-05-29 02:00:00,,29.0,12.4,,,
3018343,CT2,2018-05-29 02:00:00,34.0,,,,,
3018344,BX9,2018-05-29 02:00:00,32.0,,,,,
3018345,BX1,2018-05-29 02:00:00,,24.9,-1.7,,,
3018346,TH4,2018-05-29 02:00:00,,35.4,18.0,,,
3018347,ST5,2018-05-29 02:00:00,,,,,,
3018348,RB7,2018-05-29 02:00:00,,26.8,4.0,,,
3018349,TD5,2018-05-29 02:00:00,23.1,,,,,
3018387,CD1,2018-05-29 03:00:00,26.2,26.7,12.0,,,
3018388,BL0,2018-05-29 03:00:00,20.6,22.5,14.0,,,
3018389,GR4,2018-05-29 03:00:00,28.9,27.5,7.4,,,
3018390,MY7,2018-05-29 03:00:00,22.0,21.9,,,,
3018391,HV1,2018-05-29 03:00:00,25.1,24.8,4.2,,,
3018392,GN3,2018-05-29 03:00:00,27.4,28.9,5.6,,,
3018393,GR9,2018-05-29 03:00:00,,,,,,
3018394,LW2,2018-05-29 03:00:00,,,,,,
3018395,GN0,2018-05-29 03:00:00,,,,,,
3018396,KF1,2018-05-29 03:00:00,,,,,,
3018397,CD9,2018-05-29 03:00:00,,,,,,
3018398,CT3,2018-05-29 03:00:00,,,16.2,,,
3018399,CT2,2018-05-29 03:00:00,,,,,,
3018400,BX9,2018-05-29 03:00:00,27.6,,,,,
3018401,BX1,2018-05-29 03:00:00,,,-1.9,,,
3018402,TH4,2018-05-29 03:00:00,,,,,,
3018403,ST5,2018-05-29 03:00:00,,,,,,
3018404,RB7,2018-05-29 03:00:00,,,4.7,,,
3018405,TD5,2018-05-29 03:00:00,26.8,,,,,
3018443,CD1,2018-05-29 04:00:00,21.6,22.5,15.6,,,
3018444,BL0,2018-05-29 04:00:00,,,,,,
3018445,GR4,2018-05-29 04:00:00,21.6,16.3,8.3,,,
3018446,MY7,2018-05-29 04:00:00,18.7,19.8,,,,
3018447,HV1,2018-05-29 04:00:00,18.2,18.9,3.7,,,
3018448,GN3,2018-05-29 04:00:00,19.2,22.4,8.4,,,
3018449,GR9,2018-05-29 04:00:00,21.4,23.7,20.3,,,
3018450,LW2,2018-05-29 04:00:00,,,,,,
3018451,GN0,2018-05-29 04:00:00,,19.9,28.7,,,
3018452,KF1,2018-05-29 04:00:00,,,,,,
3018453,CD9,2018-05-29 04:00:00,,,34.3,,,
3018454,CT3,2018-05-29 04:00:00,,21.8,17.5,,,
3018455,CT2,2018-05-29 04:00:00,,,,,,
3018456,BX9,2018-05-29 04:00:00,23.2,,,,,
3018457,BX1,2018-05-29 04:00:00,,18.1,0.0,,,
3018458,TH4,2018-05-29 04:00:00,-3.8,28.0,28.1,,,
3018459,ST5,2018-05-29 04:00:00,,,,,,
3018460,RB7,2018-05-29 04:00:00,,22.0,8.5,,,
3018461,TD5,2018-05-29 04:00:00,22.1,,,,,
3018499,CD1,2018-05-29 05:00:00,22.2,28.3,50.1,,,
3018500,BL0,2018-05-29 05:00:00,11.9,19.3,29.6,,,
3018501,GR4,2018-05-29 05:00:00,,,,,,
3018502,MY7,2018-05-29 05:00:00,14.8,21.0,,,,
3018503,HV1,2018-05-29 05:00:00,13.8,12.2,5.1,,,
3018504,GN3,2018-05-29 05:00:00,17.1,19.5,12.3,,,
3018505,GR9,2018-05-29 05:00:00,20.0,24.7,41.9,,,
3018506,LW2,2018-05-29 05:00:00,,,,,,
3018507,GN0,2018-05-29 05:00:00,,20.5,53.2,,,
3018508,KF1,2018-05-29 05:00:00,,,,,,
3018509,CD9,2018-05-29 05:00:00,,,52.3,,,
3018510,CT3,2018-05-29 05:00:00,,28.8,20.1,,,
3018511,CT2,2018-05-29 05:00:00,21.0,,,,,
3018512,BX9,2018-05-29 05:00:00,16.4,,,,,
3018513,BX1,2018-05-29 05:00:00,,19.5,4.2,,,
3018514,TH4,2018-05-29 05:00:00,,28.4,37.3,,,
3018515,ST5,2018-05-29 05:00:00,,,,,,
3018516,RB7,2018-05-29 05:00:00,24.0,20.4,12.0,,,
3018517,TD5,2018-05-29 05:00:00,18.1,,,,,
3018555,CD1,2018-05-29 06:00:00,20.8,24.2,60.3,,,
3018556,BL0,2018-05-29 06:00:00,,20.6,38.6,,,
3018557,GR4,2018-05-29 06:00:00,18.2,13.9,13.4,,,
3018558,MY7,2018-05-29 06:00:00,18.9,22.1,,,,
3018559,HV1,2018-05-29 06:00:00,14.4,14.9,6.9,,,
3018560,GN3,2018-05-29 06:00:00,19.2,24.4,13.5,,,
3018561,GR9,2018-05-29 06:00:00,19.5,22.5,56.4,,,
3018562,LW2,2018-05-29 06:00:00,,,,,,
3018563,GN0,2018-05-29 06:00:00,22.9,23.8,61.2,,,
3018564,KF1,2018-05-29 06:00:00,,,,,,
3018565,CD9,2018-05-29 06:00:00,,,83.0,,,
3018566,CT3,2018-05-29 06:00:00,,24.8,19.9,,,
3018567,CT2,2018-05-29 06:00:00,16.0,,,,,
3018568,BX9,2018-05-29 06:00:00,18.9,,,,,
3018569,BX1,2018-05-29 06:00:00,,22.1,11.0,,,
3018570,TH4,2018-05-29 06:00:00,,,,,,
3018571,ST5,2018-05-29 06:00:00,,,,,,
3018572,RB7,2018-05-29 06:00:00,,25.2,25.3,,,
3018573,TD5,2018-05-29 06:00:00,,,,,,
3018575,CD1,2018-05-29 07:00:00,27.9,31.9,55.6,,,
3018576,BL0,2018-05-29 07:00:00,25.5,27.6,47.4,,,
3018577,GR4,2018-05-29 07:00:00,21.1,21.6,18.1,,,
3018578,MY7,2018-05-29 07:00:00,22.2,25.3,,,,
3018579,HV1,2018-05-29 07:00:00,28.4,29.2,8.2,,,
3018580,GN3,2018-05-29 07:00:00,30.9,32.9,13.4,,,
3018581,GR9,2018-05-29 07:00:00,24.2,28.9,33.2,,,
3018582,LW2,2018-05-29 07:00:00,,,,,,
3018583,GN0,2018-05-29 07:00:00,,26.7,58.5,,,
3018584,KF1,2018-05-29 07:00:00,,20.9,,,,
3018585,CD9,2018-05-29 07:00:00,,,80.9,,,
3018586,CT3,2018-05-29 07:00:00,,,29.7,,,
3018587,CT2,2018-05-29 07:00:00,21.0,,,,,
3018588,BX9,2018-05-29 07:00:00,24.1,,,,,
3018589,BX1,2018-05-29 07:00:00,,,13.7,,,
3018590,TH4,2018-05-29 07:00:00,,,,,,
3018591,ST5,2018-05-29 07:00:00,,,,,,
3018592,RB7,2018-05-29 07:00:00,,,34.8,,,
3018593,TD5,2018-05-29 07:00:00,19.4,,,,,
3018595,CD1,2018-05-29 08:00:00,25.3,28.8,53.8,,,
3018596,BL0,2018-05-29 08:00:00,19.0,30.4,45.7,,,
3018597,GR4,2018-05-29 08:00:00,23.6,22.0,16.1,,,
3018598,MY7,2018-05-29 08:00:00,24.5,23.9,,,,
3018599,HV1,2018-05-29 08:00:00,18.8,18.9,6.1,,,
3018600,GN3,2018-05-29 08:00:00,25.9,28.8,15.1,,,
3018601,GR9,2018-05-29 08:00:00,27.1,30.4,43.1,,,
3018602,LW2,2018-05-29 08:00:00,,,,,,
3018603,GN0,2018-05-29 08:00:00,,27.5,66.5,,,
3018604,KF1,2018-05-29 08:00:00,,,,,,
3018605,CD9,2018-05-29 08:00:00,,,,,,
3018606,CT3,2018-05-29 08:00:00,,23.0,28.7,,,
3018607,CT2,2018-05-29 08:00:00,,,,,,
3018608,BX9,2018-05-29 08:00:00,26.0,,,,,
3018609,BX1,2018-05-29 08:00:00,,25.2,13.9,,,
3018610,TH4,2018-05-29 08:00:00,,,,,,
3018611,ST5,2018-05-29 08:00:00,,32.0,20.5,,,
3018612,RB7,2018-05-29 08:00:00,,27.8,,,,
3018613,TD5,2018-05-29 08:00:00,23.3,,,,,
3018615,CD1,2018-05-29 09:00:00,25.7,30.9,64.7,,,
3018616,BL0,2018-05-29 09:00:00,21.8,26.0,53.4,,,
3018617,GR4,2018-05-29 09:00:00,,,,,,
3018618,MY7,2018-05-29 09:00:00,23.5,26.1,,,,
3018619,HV1,2018-05-29 09:00:00,15.8,17.8,7.1,,,
3018620,GN3,2018-05-29 09:00:00,21.9,26.7,12.3,,,
3018621,GR9,2018-05-29 09:00:00,25.0,30.4,41.6,,,
3018622,LW2,2018-05-29 09:00:00,,,,,,
3018623,GN0,2018-05-29 09:00:00,,25.3,57.4,,,
3018624,KF1,2018-05-29 09:00:00,,,,,,
3018625,CD9,2018-05-29 09:00:00,,,90.7,,,
3018626,CT3,2018-05-29 09:00:00,,27.4,36.1,,,
3018627,CT2,2018-05-29 09:00:00,,,,,,
3018628,BX9,2018-05-29 09:00:00,25.7,,,,,
3018629,BX1,2018-05-29 09:00:00,,29.3,15.7,,,
3018630,TH4,2018-05-29 09:00:00,,,,,,
3018631,ST5,2018-05-29 09:00:00,,44.0,36.1,,,
3018632,RB7,2018-05-29 09:00:00,,,,,,
3018633,TD5,2018-05-29 09:00:00,26.5,,,,,
3018635,CD1,2018-05-29 10:00:00,28.5,29.3,72.9,,,
3018636,BL0,2018-05-29 10:00:00,19.0,25.3,46.5,,,
3018637,GR4,2018-05-29 10:00:00,22.7,20.6,12.8,,,
3018638,MY7,2018-05-29 10:00:00,23.2,26.2,,,,
3018639,HV1,2018-05-29 10:00:00,18.5,21.0,9.6,,,
3018640,GN3,2018-05-29 10:00:00,22.7,24.8,14.0,,,
3018641,GR9,2018-05-29 10:00:00,23.2,28.1,43.4,,,
3018642,LW2,2018-05-29 10:00:00,,,,,,
3018643,GN0,2018-05-29 10:00:00,,26.8,50.3,,,
3018644,KF1,2018-05-29 10:00:00,,,,,,
3018645,CD9,2018-05-29 10:00:00,,,80.0,,,
3018646,CT3,2018-05-29 10:00:00,,25.0,33.6,,,
3018647,CT2,2018-05-29 10:00:00,,,,,,
3018648,BX9,2018-05-29 10:00:00,27.2,,,,,
3018649,BX1,2018-05-29 10:00:00,,22.5,13.0,,,
3018650,TH4,2018-05-29 10:00:00,,38.3,60.1,,,
3018651,ST5,2018-05-29 10:00:00,,33.0,31.3,,,
3018652,RB7,2018-05-29 10:00:00,,,,,,
3018653,TD5,2018-05-29 10:00:00,20.0,,,,,
3018655,CD1,2018-05-29 11:00:00,25.8,29.0,67.1,,,
3018656,BL0,2018-05-29 11:00:00,19.3,24.6,51.3,,,
3018657,GR4,2018-05-29 11:00:00,21.3,24.4,21.0,,,
3018658,MY7,2018-05-29 11:00:00,21.3,22.7,,,,
3018659,HV1,2018-05-29 11:00:00,25.1,26.9,34.6,,,
3018660,GN3,2018-05-29 11:00:00,27.4,28.6,30.3,,,
3018661,GR9,2018-05-29 11:00:00,26.8,34.3,53.6,,,
3018662,LW2,2018-05-29 11:00:00,,,,,,
3018663,GN0,2018-05-29 11:00:00,,34.9,69.7,,,
3018664,KF1,2018-05-29 11:00:00,,,,,,
3018665,CD9,2018-05-29 11:00:00,,,78.7,,,
3018666,CT3,2018-05-29 11:00:00,,29.6,33.2,,,
3018667,CT2,2018-05-29 11:00:00,24.0,,,,,
3018668,BX9,2018-05-29 11:00:00,28.6,,,,,
3018669,BX1,2018-05-29 11:00:00,,31.2,28.6,,,
3018670,TH4,2018-05-29 11:00:00,,49.0,64.0,,,
3018671,ST5,2018-05-29 11:00:00,,35.0,20.7,,,
3018672,RB7,2018-05-29 11:00:00,,29.8,25.8,,,
3018673,TD5,2018-05-29 11:00:00,20.2,,,,,
3018675,CD1,2018-05-29 12:00:00,20.2,20.6,45.5,,,
3018676,BL0,2018-05-29 12:00:00,,,,,,
3018677,GR4,2018-05-29 12:00:00,17.7,29.5,21.9,,,
3018678,MY7,2018-05-29 12:00:00,20.1,20.6,,,,
3018679,HV1,2018-05-29 12:00:00,23.5,25.2,21.2,,,
3018680,GN3,2018-05-29 12:00:00,25.8,27.5,31.4,,,
3018681,GR9,2018-05-29 12:00:00,23.7,28.7,66.2,,,
3018682,LW2,2018-05-29 12:00:00,,,,,,
3018683,GN0,2018-05-29 12:00:00,,33.7,70.2,,,
3018684,KF1,2018-05-29 12:00:00,,,,,,
3018685,CD9,2018-05-29 12:00:00,,,94.5,,,
3018686,CT3,2018-05-29 12:00:00,,,41.9,,,
3018687,CT2,2018-05-29 12:00:00,36.0,,,,,
3018688,BX9,2018-05-29 12:00:00,24.6,,,,,
3018689,BX1,2018-05-29 12:00:00,,,25.4,,,
3018690,TH4,2018-05-29 12:00:00,,42.0,61.5,,,
3018691,ST5,2018-05-29 12:00:00,,,35.7,,,
3018692,RB7,2018-05-29 12:00:00,,,32.3,,,
3018693,TD5,2018-05-29 12:00:00,16.5,,,,,
3018695,CD1,2018-05-29 13:00:00,21.3,23.7,60.8,,,
3018696,BL0,2018-05-29 13:00:00,,23.8,62.0,,,
3018697,GR4,2018-05-29 13:00:00,21.2,18.7,23.6,,,
3018698,MY7,2018-05-29 13:00:00,21.2,15.5,,,,
3018699,HV1,2018-05-29 13:00:00,16.6,18.0,17.5,,,
3018700,GN3,2018-05-29 13:00:00,23.3,27.2,30.4,,,
3018701,GR9,2018-05-29 13:00:00,19.9,24.1,45.8,,,
3018702,LW2,2018-05-29 13:00:00,,,,,,
3018703,GN0,2018-05-29 13:00:00,,22.1,55.9,,,
3018704,KF1,2018-05-29 13:00:00,,,,,,
3018705,CD9,2018-05-29 13:00:00,,,83.1,,,
3018706,CT3,2018-05-29 13:00:00,,18.8,40.4,,,
3018707,CT2,2018-05-29 13:00:00,25.0,,,,,
3018708,BX9,2018-05-29 13:00:00,23.7,,,,,
3018709,BX1,2018-05-29 13:00:00,,17.4,23.9,,,
3018710,TH4,2018-05-29 13:00:00,,32.4,84.5,,,
3018711,ST5,2018-05-29 13:00:00,,22.0,45.3,,,
3018712,RB7,2018-05-29 13:00:00,,22.4,26.0,,,
3018713,TD5,2018-05-29 13:00:00,17.7,,,,,
3018715,CD1,2018-05-29 14:00:00,23.1,24.3,69.0,,,
3018716,BL0,2018-05-29 14:00:00,,20.6,65.4,,,
3018717,GR4,2018-05-29 14:00:00,15.9,14.5,23.4,,,
3018718,MY7,2018-05-29 14:00:00,20.1,22.3,,,,
3018719,HV1,2018-05-29 14:00:00,15.9,16.6,12.3,,,
3018720,GN3,2018-05-29 14:00:00,18.0,20.3,26.9,,,
3018721,GR9,2018-05-29 14:00:00,19.5,18.8,47.0,,,
3018722,LW2,2018-05-29 14:00:00,,,,,,
3018723,GN0,2018-05-29 14:00:00,,19.3,57.0,,,
3018724,KF1,2018-05-29 14:00:00,,,,,,
3018725,CD9,2018-05-29 14:00:00,,,78.9,,,
3018726,CT3,2018-05-29 14:00:00,,13.8,37.5,,,
3018727,CT2,2018-05-29 14:00:00,21.0,,,,,
3018728,BX9,2018-05-29 14:00:00,19.2,,,,,
3018729,BX1,2018-05-29 14:00:00,,22.1,26.0,,,
3018730,TH4,2018-05-29 14:00:00,,30.1,80.2,,,
3018731,ST5,2018-05-29 14:00:00,,29.0,40.8,,,
3018732,RB7,2018-05-29 14:00:00,,20.4,22.3,,,
3018733,TD5,2018-05-29 14:00:00,18.0,,,,,
3018735,CD1,2018-05-29 15:00:00,20.7,23.7,67.1,,,
3018736,BL0,2018-05-29 15:00:00,12.6,18.9,67.7,,,
3018737,GR4,2018-05-29 15:00:00,,,,,,
3018738,MY7,2018-05-29 15:00:00,19.9,20.9,,,,
3018739,HV1,2018-05-29 15:00:00,11.4,12.6,7.2,,,
3018740,GN3,2018-05-29 15:00:00,16.2,16.8,16.9,,,
3018741,GR9,2018-05-29 15:00:00,14.6,20.8,40.9,,,
3018742,LW2,2018-05-29 15:00:00,,,,,,
3018743,GN0,2018-05-29 15:00:00,,19.6,51.3,,,
3018744,KF1,2018-05-29 15:00:00,,,,,,
3018745,CD9,2018-05-29 15:00:00,,,71.9,,,
3018746,CT3,2018-05-29 15:00:00,,14.2,30.1,,,
3018747,CT2,2018-05-29 15:00:00,36.0,,,,,
3018748,BX9,2018-05-29 15:00:00,13.9,,,,,
3018749,BX1,2018-05-29 15:00:00,,14.6,9.0,,,
3018750,TH4,2018-05-29 15:00:00,,30.4,71.2,,,
3018751,ST5,2018-05-29 15:00:00,,26.0,38.9,,,
3018752,RB7,2018-05-29 15:00:00,,23.0,14.8,,,
3018753,TD5,2018-05-29 15:00:00,14.7,,,,,
3018755,CD1,2018-05-29 16:00:00,20.6,23.9,59.9,,,
3018756,BL0,2018-05-29 16:00:00,13.9,20.8,47.8,,,
3018757,GR4,2018-05-29 16:00:00,13.2,13.3,14.9,,,
3018758,MY7,2018-05-29 16:00:00,18.9,21.9,,,,
3018759,HV1,2018-05-29 16:00:00,11.1,13.6,7.8,,,
3018760,GN3,2018-05-29 16:00:00,14.2,19.5,10.7,,,
3018761,GR9,2018-05-29 16:00:00,12.9,17.0,33.2,,,
3018762,LW2,2018-05-29 16:00:00,,,,,,
3018763,GN0,2018-05-29 16:00:00,,15.9,41.5,,,
3018764,KF1,2018-05-29 16:00:00,,,,,,
3018765,CD9,2018-05-29 16:00:00,,,68.6,,,
3018766,CT3,2018-05-29 16:00:00,,16.2,23.5,,,
3018767,CT2,2018-05-29 16:00:00,21.0,,,,,
3018768,BX9,2018-05-29 16:00:00,15.5,,,,,
3018769,BX1,2018-05-29 16:00:00,,18.1,5.0,,,
3018770,TH4,2018-05-29 16:00:00,,26.8,50.9,,,
3018771,ST5,2018-05-29 16:00:00,,24.0,36.6,,,
3018772,RB7,2018-05-29 16:00:00,,21.0,17.4,,,
3018773,TD5,2018-05-29 16:00:00,15.7,,,,,
3018775,CD1,2018-05-29 17:00:00,20.5,25.1,61.4,,,
3018776,BL0,2018-05-29 17:00:00,16.5,22.8,44.9,,,
3018777,GR4,2018-05-29 17:00:00,15.1,17.5,12.5,,,
3018778,MY7,2018-05-29 17:00:00,18.1,19.4,,,,
3018779,HV1,2018-05-29 17:00:00,16.8,18.7,7.9,,,
3018780,GN3,2018-05-29 17:00:00,18.6,19.5,9.5,,,
3018781,GR9,2018-05-29 17:00:00,16.5,20.6,26.0,,,
3018782,LW2,2018-05-29 17:00:00,,,,,,
3018783,GN0,2018-05-29 17:00:00,,22.5,44.2,,,
3018784,KF1,2018-05-29 17:00:00,,,,,,
3018785,CD9,2018-05-29 17:00:00,,,,,,
3018786,CT3,2018-05-29 17:00:00,,15.8,25.8,,,
3018787,CT2,2018-05-29 17:00:00,34.0,,,,,
3018788,BX9,2018-05-29 17:00:00,19.9,,,,,
3018789,BX1,2018-05-29 17:00:00,,18.1,5.0,,,
3018790,TH4,2018-05-29 17:00:00,,29.8,33.2,,,
3018791,ST5,2018-05-29 17:00:00,,24.0,21.2,,,
3018792,RB7,2018-05-29 17:00:00,,24.0,17.0,,,
3018793,TD5,2018-05-29 17:00:00,19.5,,,,,
3018795,CD1,2018-05-29 18:00:00,20.0,23.9,43.0,,,
3018796,BL0,2018-05-29 18:00:00,16.2,23.1,36.9,,,
3018797,GR4,2018-05-29 18:00:00,15.7,18.7,11.9,,,
3018798,MY7,2018-05-29 18:00:00,18.2,25.0,,,,
3018799,HV1,2018-05-29 18:00:00,15.3,17.3,7.4,,,
3018800,GN3,2018-05-29 18:00:00,22.2,24.6,11.7,,,
3018801,GR9,2018-05-29 18:00:00,18.8,25.1,31.8,,,
3018802,LW2,2018-05-29 18:00:00,,,,,,
3018803,GN0,2018-05-29 18:00:00,,25.0,35.5,,,
3018804,KF1,2018-05-29 18:00:00,,,,,,
3018805,CD9,2018-05-29 18:00:00,,,59.3,,,
3018806,CT3,2018-05-29 18:00:00,,24.4,22.2,,,
3018807,CT2,2018-05-29 18:00:00,24.0,,,,,
3018808,BX9,2018-05-29 18:00:00,18.3,,,,,
3018809,BX1,2018-05-29 18:00:00,,17.5,4.9,,,
3018810,TH4,2018-05-29 18:00:00,,31.1,32.8,,,
3018811,ST5,2018-05-29 18:00:00,,27.0,17.0,,,
3018812,RB7,2018-05-29 18:00:00,,24.8,16.3,,,
3018813,TD5,2018-05-29 18:00:00,19.3,,,,,
3018815,CD1,2018-05-29 19:00:00,21.9,25.0,37.9,,,
3018816,BL0,2018-05-29 19:00:00,17.7,24.5,32.9,,,
3018817,GR4,2018-05-29 19:00:00,19.6,14.1,9.8,,,
3018818,MY7,2018-05-29 19:00:00,20.6,20.6,,,,
3018819,HV1,2018-05-29 19:00:00,14.9,17.3,6.6,,,
3018820,GN3,2018-05-29 19:00:00,21.3,24.5,13.5,,,
3018821,GR9,2018-05-29 19:00:00,18.9,23.3,25.6,,,
3018822,LW2,2018-05-29 19:00:00,,,,,,
3018823,GN0,2018-05-29 19:00:00,,22.1,26.2,,,
3018824,KF1,2018-05-29 19:00:00,,,,,,
3018825,CD9,2018-05-29 19:00:00,,,59.2,,,
3018826,CT3,2018-05-29 19:00:00,,33.2,22.2,,,
3018827,CT2,2018-05-29 19:00:00,26.0,,,,,
3018828,BX9,2018-05-29 19:00:00,18.2,,,,,
3018829,BX1,2018-05-29 19:00:00,,18.1,3.0,,,
3018830,TH4,2018-05-29 19:00:00,,30.2,33.1,,,
3018831,ST5,2018-05-29 19:00:00,,29.0,17.3,,,
3018832,RB7,2018-05-29 19:00:00,,26.8,12.7,,,
3018833,TD5,2018-05-29 19:00:00,17.4,,,,,

